ID,"Street Address
City, State","Building
Registration
Number",HPD-BIN,HUD_ID,HPD-BBL,HPD-complaints S1-2019,HPD-complaints S2-2020,increase
105995299999999991020020017,"621 W 135TH ST
NEW YORK, NY",109467,1059952,9999999999,1020020017,#N/A,#N/A,#N/A
105980299999999991019880115,"510 W 136TH ST
NEW YORK, NY",109046,1059802,9999999999,1019880115,#N/A,#N/A,#N/A
105980399999999991019880117,"512 W 136TH ST
NEW YORK, NY",112600,1059803,9999999999,1019880117,#N/A,#N/A,#N/A
105997899999999991020020095,"626 W 136TH ST
NEW YORK, NY",104404,1059978,9999999999,1020020095,#N/A,#N/A,#N/A
106226799999999991020860024,"605 W 137TH ST
NEW YORK, NY",118617,1062267,9999999999,1020860024,#N/A,#N/A,#N/A
106171799999999991020700023,"515 W 138TH ST
NEW YORK, NY",109509,1061717,9999999999,1020700023,#N/A,#N/A,#N/A
106227099999999991020860037,"602 W 138TH ST
NEW YORK, NY",117196,1062270,9999999999,1020860037,#N/A,#N/A,#N/A
106229799999999991020870025,"603 W 138TH ST
NEW YORK, NY",110664,1062297,9999999999,1020870025,#N/A,#N/A,#N/A
106227299999999991020860040,"610 W 138TH ST
NEW YORK, NY",128698,1062272,9999999999,1020860040,#N/A,#N/A,#N/A
106227399999999991020860041,"612 W 138TH ST
NEW YORK, NY",121164,1062273,9999999999,1020860041,#N/A,#N/A,#N/A
106229499999999991020870022,"613 W 138TH ST
NEW YORK, NY",136056,1062294,9999999999,1020870022,#N/A,#N/A,#N/A
106227499999999991020860042,"616 W 138TH ST
NEW YORK, NY",123691,1062274,9999999999,1020860042,#N/A,#N/A,#N/A
106231599999999991020870120,"619 W 138TH ST
NEW YORK, NY",129800,1062315,9999999999,1020870120,#N/A,#N/A,#N/A
106173399999999991020710023,"511 W 139TH ST
NEW YORK, NY",129632,1061733,9999999999,1020710023,#N/A,#N/A,#N/A
106176599999999991020720026,"507 W 140TH ST
NEW YORK, NY",115527,1061765,9999999999,1020720026,#N/A,#N/A,#N/A
106174199999999991020710043,"520 W 140TH ST
NEW YORK, NY",138279,1061741,9999999999,1020710043,#N/A,#N/A,#N/A
106176199999999991020720010,"557 W 140TH ST
NEW YORK, NY",102367,1061761,9999999999,1020720010,#N/A,#N/A,#N/A
106176099999999991020720008,"559 W 140TH ST
NEW YORK, NY",126447,1061760,9999999999,1020720008,#N/A,#N/A,#N/A
106121899999999991020570146,"452 W 141ST ST
NEW YORK, NY",123222,1061218,9999999999,1020570146,#N/A,#N/A,#N/A
106120599999999991020570047,"454 W 141ST ST
NEW YORK, NY",132242,1061205,9999999999,1020570047,#N/A,#N/A,#N/A
106126099999999991020580107,"461 W 141ST ST
NEW YORK, NY",114269,1061260,9999999999,1020580107,#N/A,#N/A,#N/A
106120899999999991020570050,"462 W 141ST ST
NEW YORK, NY",131094,1061208,9999999999,1020570050,#N/A,#N/A,#N/A
106121199999999991020570053,"470 W 141ST ST
NEW YORK, NY",131095,1061211,9999999999,1020570053,#N/A,#N/A,#N/A
106122399999999991020580003,"473 W 141ST ST
NEW YORK, NY",111476,1061223,9999999999,1020580003,#N/A,#N/A,#N/A
106183299999999991020730116,"527 W 141ST ST
NEW YORK, NY",102733,1061832,9999999999,1020730116,#N/A,#N/A,#N/A
106178799999999991020730016,"529 W 141ST ST
NEW YORK, NY",132021,1061787,9999999999,1020730016,#N/A,#N/A,#N/A
106183099999999991020730114,"535 W 141ST ST
NEW YORK, NY",114725,1061830,9999999999,1020730114,#N/A,#N/A,#N/A
106232499999999991020880047,"622 W 141ST ST
NEW YORK, NY",117411,1062324,9999999999,1020880047,#N/A,#N/A,#N/A
106124199999999991020580022,"462 W 142ND ST
NEW YORK, NY",123286,1061241,9999999999,1020580022,#N/A,#N/A,#N/A
106124899999999991020580031,"471 W 142ND ST
NEW YORK, NY",112670,1061248,9999999999,1020580031,#N/A,#N/A,#N/A
106180099999999991020730036,"500 W 142ND ST
NEW YORK, NY",102792,1061800,9999999999,1020730036,#N/A,#N/A,#N/A
106183499999999991020730145,"510 W 142ND ST
NEW YORK, NY",127328,1061834,9999999999,1020730145,#N/A,#N/A,#N/A
106185599999999991020740020,"511 W 142ND ST
NEW YORK, NY",116668,1061855,9999999999,1020740020,#N/A,#N/A,#N/A
106185499999999991020740019,"515 W 142ND ST
NEW YORK, NY",127193,1061854,9999999999,1020740019,#N/A,#N/A,#N/A
106187599999999991020740117,"519 W 142ND ST
NEW YORK, NY",122390,1061875,9999999999,1020740117,#N/A,#N/A,#N/A
106183699999999991020730149,"522 W 142ND ST
NEW YORK, NY",125941,1061836,9999999999,1020730149,#N/A,#N/A,#N/A
106185299999999991020740015,"525 W 142ND ST
NEW YORK, NY",113121,1061852,9999999999,1020740015,#N/A,#N/A,#N/A
106181599999999991020730051,"528 W 142ND ST
NEW YORK, NY",138442,1061815,9999999999,1020730051,#N/A,#N/A,#N/A
106184999999999991020740012,"533 W 142ND ST
NEW YORK, NY",133897,1061849,9999999999,1020740012,#N/A,#N/A,#N/A
106181999999999991020730055,"538 W 142ND ST
NEW YORK, NY",128999,1061819,9999999999,1020730055,#N/A,#N/A,#N/A
106184699999999991020740009,"539 W 142ND ST
NEW YORK, NY",112134,1061846,9999999999,1020740009,#N/A,#N/A,#N/A
106182299999999991020730058,"548 W 142ND ST
NEW YORK, NY",114361,1061822,9999999999,1020730058,#N/A,#N/A,#N/A
106184199999999991020730159,"552 W 142ND ST
NEW YORK, NY",125052,1061841,9999999999,1020730159,#N/A,#N/A,#N/A
106235599999999991020890121,"617 W 142ND ST
NEW YORK, NY",131799,1062355,9999999999,1020890121,#N/A,#N/A,#N/A
106235499999999991020890120,"621 W 142ND ST
NEW YORK, NY",121367,1062354,9999999999,1020890120,#N/A,#N/A,#N/A
106234099999999991020890020,"623 W 142ND ST
NEW YORK, NY",116727,1062340,9999999999,1020890020,#N/A,#N/A,#N/A
106235399999999991020890118,"627 W 142ND ST
NEW YORK, NY",129596,1062353,9999999999,1020890118,2,,
106233699999999991020890016,"635 W 142ND ST
NEW YORK, NY",133413,1062336,9999999999,1020890016,#N/A,#N/A,#N/A
106186399999999991020740042,"502 W 143RD ST
NEW YORK, NY",104159,1061863,9999999999,1020740042,2,,
106186499999999991020740044,"504 W 143RD ST
NEW YORK, NY",100628,1061864,9999999999,1020740044,#N/A,#N/A,#N/A
106188699999999991020750023,"505 W 143RD ST
NEW YORK, NY",102135,1061886,9999999999,1020750023,#N/A,#N/A,#N/A
108813299999999991020890045,"620 W 143RD ST
NEW YORK, NY",143479,1088132,9999999999,1020890045,#N/A,#N/A,#N/A
106095499999999991020500052,"413 W 144TH ST
NEW YORK, NY",118904,1060954,9999999999,1020500052,#N/A,#N/A,#N/A
106101199999999991020500153,"415 W 144TH ST
NEW YORK, NY",100470,1061011,9999999999,1020500153,#N/A,#N/A,#N/A
106095799999999991020500055,"421 W 144TH ST
NEW YORK, NY",109013,1060957,9999999999,1020500055,#N/A,#N/A,#N/A
106101299999999991020500155,"423 W 144TH ST
NEW YORK, NY",107975,1061012,9999999999,1020500155,#N/A,#N/A,#N/A
106128899999999991020590020,"454 W 144TH ST
NEW YORK, NY",129214,1061288,9999999999,1020590020,#N/A,#N/A,#N/A
106129199999999991020590023,"460 W 144TH ST
NEW YORK, NY",123968,1061291,9999999999,1020590023,#N/A,#N/A,#N/A
106130599999999991020590037,"465 W 144TH ST
NEW YORK, NY",114359,1061305,9999999999,1020590037,#N/A,#N/A,#N/A
106129699999999991020590028,"470 W 144TH ST
NEW YORK, NY",113174,1061296,9999999999,1020590028,#N/A,#N/A,#N/A
106190899999999991020760026,"511 W 144TH ST
NEW YORK, NY",125906,1061908,9999999999,1020760026,#N/A,#N/A,#N/A
106190799999999991020760025,"515 W 144TH ST
NEW YORK, NY",131595,1061907,9999999999,1020760025,#N/A,#N/A,#N/A
107949199999999991020760021,"521 W 144TH ST
NEW YORK, NY",113844,1079491,9999999999,1020760021,#N/A,#N/A,#N/A
106192499999999991020760120,"529 W 144TH ST
NEW YORK, NY",113056,1061924,9999999999,1020760120,#N/A,#N/A,#N/A
106190699999999991020760020,"531 W 144TH ST
NEW YORK, NY",112766,1061906,9999999999,1020760020,#N/A,#N/A,#N/A
106192399999999991020760118,"535 W 144TH ST
NEW YORK, NY",113840,1061923,9999999999,1020760118,#N/A,#N/A,#N/A
106189299999999991020750049,"540 W 144TH ST
NEW YORK, NY",101721,1061892,9999999999,1020750049,#N/A,#N/A,#N/A
106189399999999991020750053,"550 W 144TH ST
NEW YORK, NY",101723,1061893,9999999999,1020750053,#N/A,#N/A,#N/A
106189499999999991020750056,"560 W 144TH ST
NEW YORK, NY",101900,1061894,9999999999,1020750056,#N/A,#N/A,#N/A
106236899999999991020910026,"605 W 144TH ST
NEW YORK, NY",127841,1062368,9999999999,1020910026,#N/A,#N/A,#N/A
106100899999999991020500150,"406 W 145TH ST
NEW YORK, NY",130344,1061008,9999999999,1020500150,#N/A,#N/A,#N/A
106100699999999991020500148,"410 W 145TH ST
NEW YORK, NY",126440,1061006,9999999999,1020500148,#N/A,#N/A,#N/A
106095199999999991020500049,"412 W 145TH ST
NEW YORK, NY",137231,1060951,9999999999,1020500049,#N/A,#N/A,#N/A
106134599999999991020600023,"417 W 145TH ST
NEW YORK, NY",129681,1061345,9999999999,1020600023,#N/A,#N/A,#N/A
106133499999999991020590151,"450 W 145TH ST
NEW YORK, NY",128257,1061334,9999999999,1020590151,#N/A,#N/A,#N/A
106131899999999991020590052,"452 W 145TH ST
NEW YORK, NY",138736,1061318,9999999999,1020590052,#N/A,#N/A,#N/A
106132199999999991020590055,"462 W 145TH ST
NEW YORK, NY",110911,1061321,9999999999,1020590055,#N/A,#N/A,#N/A
106133799999999991020590156,"466 W 145TH ST
NEW YORK, NY",119458,1061337,9999999999,1020590156,#N/A,#N/A,#N/A
106132399999999991020590057,"468 W 145TH ST
NEW YORK, NY",128398,1061323,9999999999,1020590057,#N/A,#N/A,#N/A
106132499999999991020590058,"470 W 145TH ST
NEW YORK, NY",142559,1061324,9999999999,1020590058,#N/A,#N/A,#N/A
106134399999999991020600014,"471 W 145TH ST
NEW YORK, NY",129571,1061343,9999999999,1020600014,#N/A,#N/A,#N/A
106132699999999991020590060,"476 W 145TH ST
NEW YORK, NY",113486,1061326,9999999999,1020590060,#N/A,#N/A,#N/A
106237899999999991020920024,"611 W 145TH ST
NEW YORK, NY",131596,1062378,9999999999,1020920024,#N/A,#N/A,#N/A
106137399999999991020600138,"406 W 146TH ST
NEW YORK, NY",118908,1061373,9999999999,1020600138,#N/A,#N/A,#N/A
